artist_name,stage_name,country,artist_type,title,description,content_preview,url,image,published_at,source_name,source_url,source_country,news_type,relevance_score,relevance_reason,query_used,window_from,window_to
Davido,Davido,Nigeria,Music Artist,Davido announces busy 2026 with lineup of activities,"Nigerian Afrobeats superstar Davido has revealed an ambitious lineup of projects and performances for 2026, including his highly anticipated debut at the Coachella Valley Music and Arts Festival, the release of new music, and the continued success of his hit track Kante in the United States.","SongsNewsLyricsSportsRankingAFCON '25 HomeSongsVideosLyricsAdvertiseNewsSportsGospelNJO TV Copyright © 2022, Notjustok Inc By Elizabeth Clifford December 3, 2025 SHARE Davido announces busy 2026 with lineup of activities SHARE Nigerian Afrobeats superstar Davido has revealed an ambitious lineup of p",https://notjustok.com/news/davido-announces-busy-2026-with-lineup-of-activities/,https://notjustok.com/wp-content/uploads/2025/04/Davido-edited-1-1440x720.jpg,2025-12-03T12:10:43+00:00,notjustok.com,https://notjustok.com,ng,Music,4,name in title; keyword: release; trusted source: notjustok.com,"""Davido"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Davido,Davido,Nigeria,Music Artist,Davido &#038; Omah Lay are Serving Romance and Rhythm in the “With You” Video,"Watch Davido and Omah Lay’s new music video for “With You,","Watch Davido and Omah Lay’s new music video for “With You,&#8221; a romantic visual ode with an unforgettable cameo by highlife legend Bright Chimezie. We’re sure you’ve heard it everywhere. Davido and Omah Lay’s voices pouring out of speakers, taking over the moment as Omah Lay gently sings, “Baby",https://www.bellanaija.com/2025/06/davido-omah-lay-with-you-video/,https://www.bellanaija.com/wp-content/uploads/2025/06/Screenshot-2025-06-16-at-18.05.06-1000x600.png,2025-06-16T17:32:25+01:00,bellanaija.com,https://www.bellanaija.com,ng,Music,3,name in title; keyword: video; trusted source: bellanaija.com; stub description,"""Davido"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Tiwa Savage,Tiwa Savage,Nigeria,Music Artist,VIDEO PREMIERE: Tiwa Savage - Rewind,"The visuals to Rewind, one of the standout tracks from the critically RED album by Tiwa Savage.","No Result View All Result Countries Nigeria South Africa Ghana Tanzania Kenya Zambia Congo United kingdom Stats News Music Culture Videos Artists Advertise Music Promo No Result View All Result No Result View All Result Home Songs VIDEO PREMIERE: Tiwa Savage &#8211; Rewind by Tyler Duncan Jun 1, 202",https://tooxclusive.com/download-mp3/video-premiere-tiwa-savage-rewind/,https://hub.tooxclusive.com/wp-content/uploads/2016/10/vlcsnap-2016-10-27-17h02m18s482.jpg,,tooxclusive.com,https://tooxclusive.com,ng,Album,4,name in title; keyword: video; trusted source: tooxclusive.com,"""Tiwa Savage"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Tiwa Savage,Tiwa Savage,Nigeria,Music Artist,Album Tiwa Savage - Celia,"Nigerian-born singer, songwriter and fashion icon TIWA SAVAGE widely regarded as the ”˜Queen of Afrobeats` releases her third studio album CELIA. The album is","No Result View All Result Countries Nigeria South Africa Ghana Tanzania Kenya Zambia Congo United kingdom Stats News Music Culture Videos Artists Advertise Music Promo No Result View All Result No Result View All Result Home A-List Album Tiwa Savage &#8211; Celia by Tomiwa Jun 2, 2026 | 23:22 in A-L",https://tooxclusive.com/top-artists/album-tiwa-savage-celia/,https://hub.tooxclusive.com/wp-content/uploads/2020/08/Celia-album-art.jpeg,2026-01-26T06:19:09+01:00,tooxclusive.com,https://tooxclusive.com,ng,Album,4,name in title; keyword: song; trusted source: tooxclusive.com,"""Tiwa Savage"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Tiwa Savage,Tiwa Savage,Nigeria,Music Artist,8 Reasons Why Tiwa Savage Is And Will Remain Queen,"For sometime now, there has been a lot of unwarranted debate about who truly is the queen of music in the Nigerian music industry? Several names cropped up",No Result View All Result Countries Nigeria South Africa Ghana Tanzania Kenya Zambia Congo United kingdom Stats News Music Culture Videos Artists Advertise Music Promo No Result View All Result No Result View All Result Home Editorial 8 Reasons Why Tiwa Savage Is And Will Remain Queen by Temitope De,https://tooxclusive.com/editorial/8-reasons-why-tiwa-savage-is-and-will-remain-queen/,https://hub.tooxclusive.com/wp-content/uploads/2016/04/Tiwa-Savage-1.jpg,2023-02-01T07:59:46+01:00,tooxclusive.com,https://tooxclusive.com,ng,Update,4,name in title; keyword: music; trusted source: tooxclusive.com,"""Tiwa Savage"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Tiwa Savage,Tiwa Savage,Nigeria,Music Artist,"Tiwa Savage — Stats, Charts &amp; Streams | TooXclusive",Tiwa Savage is an artist from Nigeria with over 0.8 billion Spotify streams and 2.8 million monthly listeners. Tiwa Savage is currently ranked #5602 globally on Spotify — gaining 37K listeners yesterday.,CompareAskChartsSpotify UKSpotify GlobalSpotify NigeriaTooXclusive Top 100UK AfrobeatsBillboard Hot 100TooXclusive +37.4KView on TooxclusiveTiwa Savage is an artist from Nigeria with over 0.8 billion Spotify streams and 2.8 million monthly listeners. Tiwa Savage is currently ranked #5602 globally on,https://tooxclusive.com/stats/artists/tiwa-savage,https://i.scdn.co/image/ab6761610000e5ebf50933ec70ba9ca9648fcadf,,tooxclusive.com,https://tooxclusive.com,ng,Artist,4,name in title; keyword: chart; trusted source: tooxclusive.com,"""Tiwa Savage"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Tiwa Savage,Tiwa Savage,Nigeria,Music Artist,Tiwa Savage - Colors Of Love,"Here&#039;s a new single from Mavin Records&#039; First Lady, Tiwa Savage. This one is titled Colors of Love and it&#039;s a slow tempo song you&#039;ll want to play over and","No Result View All Result Countries Nigeria South Africa Ghana Tanzania Kenya Zambia Congo United kingdom Stats News Music Culture Videos Artists Advertise Music Promo No Result View All Result No Result View All Result Home Songs Tiwa Savage &#8211; Colors Of Love by @Tobi_tx Jun 3, 2026 | 09:19 in",https://tooxclusive.com/download-mp3/tiwa-savage-colors-of-love/,https://hub.tooxclusive.com/wp-content/uploads/2014/10/tiwa-600x336.jpg,2026-01-27T07:06:00+01:00,tooxclusive.com,https://tooxclusive.com,ng,Music,4,name in title; keyword: song; trusted source: tooxclusive.com,"""Tiwa Savage"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Genevieve Nnaji,Genevieve Nnaji,Nigeria,Actress,"Genevieve Nnaji Latest Songs, Albums &amp; News 2025",Latest music and entertainment news from Genevieve Nnaji. All You need to know about the afrobeats artist Genevieve Nnaji in 2024,"No Result View All Result Countries Nigeria South Africa Ghana Tanzania Kenya Zambia Congo United kingdom Stats News Music Culture Videos Artists Advertise Music Promo No Result View All Result No Result View All Result Home Tag Genevieve Nnaji Tag: Genevieve Nnaji News Rapper, Lynxx &#038; Nollywoo",https://tooxclusive.com/tag/genevieve-nnaji/,,,tooxclusive.com,https://tooxclusive.com,ng,Album,4,name in title; keyword: song; trusted source: tooxclusive.com,"""Genevieve Nnaji"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Genevieve Nnaji,Genevieve Nnaji,Nigeria,Actress,How Genevieve Nnaji Pranked Me On Set Of Lionheart’ - Jemima Osunde Shares,"This was in a new interview with Ebuka Obi-Uchendu on Rubbin` Minds. The movie Lionheart was Genevieve`s first Nollywood original feature film, premiered on",No Result View All Result Countries Nigeria South Africa Ghana Tanzania Kenya Zambia Congo United kingdom Stats News Music Culture Videos Artists Advertise Music Promo No Result View All Result No Result View All Result Home News How Genevieve Nnaji Pranked Me On Set Of Lionheart’ &#8211; Jemima Osu,https://tooxclusive.com/news/how-genevieve-nnaji-pranked-me-on-set-of-lionheart-jemima-osunde-shares/,https://hub.tooxclusive.com/wp-content/uploads/2022/01/Genevieve-Nnaji-Jemima-Osunde.jpg,2022-01-12T09:33:34+01:00,tooxclusive.com,https://tooxclusive.com,ng,Movie,4,name in title; keyword: nollywood; trusted source: tooxclusive.com,"""Genevieve Nnaji"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Genevieve Nnaji,Genevieve Nnaji,Nigeria,Actress,Nollywood&#039;s Genevieve Nnaji Shows Off Her Shaku Shaku Skill With Olamide&#039;s Science Student,"Shaku Shaku is the new viral dance in the industry, and the dance move is constantly seen everywhere on the internet space. The latest victim to the virus is Nolllywood&#039;s finest, Genevieve Nnaji.",No Result View All Result Countries Nigeria South Africa Ghana Tanzania Kenya Zambia Congo United kingdom Stats News Music Culture Videos Artists Advertise Music Promo No Result View All Result No Result View All Result Home News Nollywood&#8217;s Genevieve Nnaji Shows Off Her Shaku Shaku Skill With,https://tooxclusive.com/news/nollywoods-genevieve-nnaji-shows-off-her-shaku-shaku-skill-with-olamides-science-student/,https://hub.tooxclusive.com/wp-content/uploads/2018/04/vllkyt7tfb1h3favl.r412x309.198fbabc.jpg,2018-04-13T11:47:35+01:00,tooxclusive.com,https://tooxclusive.com,ng,Movie,4,name in title; keyword: show; trusted source: tooxclusive.com,"""Genevieve Nnaji"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Genevieve Nnaji,Genevieve Nnaji,Nigeria,Actress,Soft - Genevieve | Listen &amp; Download MP3&raquo; tooXclusive,https://tooxclusive.com/wp-content/uploads/2020/01/Soft-Genevieve.mp3,"No Result View All Result Countries Nigeria South Africa Ghana Tanzania Kenya Zambia Congo United kingdom Stats News Music Culture Videos Artists Advertise Music Promo No Result View All Result No Result View All Result Home Songs Soft &#8211; Genevieve by Tomiwa Jun 2, 2026 | 11:37 in Songs, Trendi",https://tooxclusive.com/download-mp3/soft-genevieve/,https://hub.tooxclusive.com/wp-content/uploads/2020/01/Soft-Gene-art.jpg,2026-01-31T23:00:03+01:00,tooxclusive.com,https://tooxclusive.com,ng,Update,3,name in title; trusted source: tooxclusive.com,"""Genevieve Nnaji"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Genevieve Nnaji,Genevieve Nnaji,Nigeria,Actress,"VIDEO: D&#039;Banj Talks Genevieve, Half Of A Yellow Sun Sountrack &amp; More On Factory78",Factory78 caught with Afropop star and Nigerian super star D&#039;Banj on his recent UK promo trip for his latest single &#039;&#039;Bother You&#039;&#039;.,"No Result View All Result Countries Nigeria South Africa Ghana Tanzania Kenya Zambia Congo United kingdom Stats News Music Culture Videos Artists Advertise Music Promo No Result View All Result No Result View All Result Home VIDEOS VIDEO: D&#8217;Banj Talks Genevieve, Half Of A Yellow Sun Sountrack",https://tooxclusive.com/videos/video-dbanj-talks-genevieve-half-of-a-yellow-sun-sountrack-more-on-factory78/,https://hub.tooxclusive.com/wp-content/uploads/2014/03/download-tooxclusive.jpg,2023-01-28T11:58:38+01:00,tooxclusive.com,https://tooxclusive.com,ng,Music,4,name in title; keyword: video; trusted source: tooxclusive.com,"""Genevieve Nnaji"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
