artist_name,stage_name,country,artist_type,title,description,content_preview,url,image,published_at,source_name,source_url,source_country,news_type,relevance_score,relevance_reason,query_used
Burna Boy,Burna Boy,Nigeria,Music Artist,Shakira and Burna Boy release “Dai Dai” the FIFA World Cup 2026™ official song linked with the FIFA Global Citizen Education Fund,GRAMMY® and Latin GRAMMY® Award-winning artist Shakira and Burna Boy have released new track “Dai Dai” via Sony Music Latin. Listen HERE  Shakira,"GRAMMY® and Latin GRAMMY® Award-winning artist Shakira and Burna Boy have released new track “Dai Dai” via Sony Music Latin. Listen HERE
Shakira will co-headline the FIFA World Cup 2026™ Final Halftime Show on Sunday, July 19, alongside Madonna and B... [6946 chars]",https://manilastandard.net/spotlight/314742450/shakira-and-burna-boy-release-dai-dai-the-fifa-world-cup-2026-official-song-linked-with-the-fifa-global-citizen-education-fund.html,https://cdn.manilastandard.net/wp-content/uploads/2026/05/dai-dai.png,2026-05-21T06:04:32Z,manilastandard.net,https://manilastandard.net,ph,Music,3,name in title; keyword: award,"""Burna Boy"" Music Artist"
Burna Boy,Burna Boy,Nigeria,Music Artist,Queen of World Cup music returns: Shakira drops 2026 anthem 'Dai Dai' teaser,"Shakira is set to release 'Dai Dai', the official anthem for the 2026 FIFA World Cup, her second official FIFA song after 'Waka Waka', featuring Nigerian artist Burna Boy. The highly anticipated track, with a strong Afrobeats rhythm, was teased from the iconic Maracanã Stadium and carries a message of strength and resilience","Colombian singer Shakira marked her return to FIFA’s musical legacy by dropping the teaser for ‘Dai Dai’, the official anthem for World Cup 2026, featuring Nigerian Singer Burna Boy. Shakira is popularly called ‘Queen of World Cup Music’ for her famo... [1380 chars]",https://www.theweek.in/news/sports/2026/05/08/queen-of-world-cup-music-returns-shakira-drops-2026-anthem-dai-dai-teaser.html,https://www.theweek.in/content/dam/week/week/news/sports/images/2026/5/8/shakira-wc-afp.jpg,2026-05-08T10:53:55Z,THE WEEK,https://www.theweek.in,in,Music,2,name in description; keyword: track,"""Burna Boy"" Music Artist"
Burna Boy,Burna Boy,Nigeria,Music Artist,"Shakira Debuts Dai Dai, 2026 FIFA World Cup's New Anthem With Burna Boy","Ahead of the global tournament, Colombian pop star Shakira unveiled a tease of her latest sports anthem. Collaborating with Nigerian artist Burna Boy, Shakira shared a clip of the music video due to release next week., Hollywood, Times Now","Shakira Unveils New Song Dai Dai Ahead Of 2026 FIFA World Cup (Images credit: YouTube)
The 2026 FIFA World Cup is set to take place from June 11 to July 19, 2026, in North America. Before the tournament kicks off next month, Shakira has resumed her m... [2460 chars]",https://www.timesnownews.com/entertainment-news/hollywood/shakira-debuts-dai-dai-2026-fifa-world-cup-new-anthem-with-burna-boy-article-154270873,"https://images.timesnownews.com/thumb/msid-154270873,width-1280,height-720,resizemode-75/154270873.jpg",2026-05-07T19:14:33Z,Times Now,https://www.timesnownews.com,in,Music,3,name in title; keyword: debut,"""Burna Boy"" Music Artist"
Tiwa Savage,Tiwa Savage,Nigeria,Music Artist,Nigerian Afrobeats star partners with US school to nurture African talent,Nigeria's Tiwa Savage brought together over 100 aspiring artists for a series of workshops in collaboration with US Berklee College of Music.,"Nigerian Afrobeats sensation Tiwa Savage walked around a music centre in Lagos, smiling, listening, and giving words of encouragement young artists taking part in an elite music training programme.
A prominent face in Nigeria's flourishing music scen... [3817 chars]",https://www.africanews.com/2026/05/06/nigerian-afrobeats-star-partners-with-us-school-to-nurture-african-talent/,https://images.euronews.com/articles/stories/09/74/86/78/1024x538_cmsv2_4d80f1da-1f2c-5d6f-8c6c-cbbd23017a1f-9748678.jpg,2026-05-06T09:49:25Z,Africanews,https://www.africanews.com,fr,Music,3,name in description; keyword: collaboration; trusted source: africanews.com,"""Tiwa Savage"" Nigeria"
Tiwa Savage,Tiwa Savage,Nigeria,Music Artist,Nigerian Afrobeats star Tiwa Savage nurtures Africa's musical talent,Nigeria's Tiwa Savage brought together over 100 aspiring artists for a series of workshops in collaboration with US Berklee College of Music.,"Nigerian Afrobeats sensation Tiwa Savage walked around a music centre in Lagos, smiling, listening, and giving words of encouragement to scores of young artists taking part in an elite music training programme.
A prominent face in Nigeria's flourishi... [3671 chars]",https://www.africanews.com/2026/05/06/nigerian-afrobeats-star-tiwa-savage-nurtures-africas-musical-talent/,https://images.euronews.com/articles/stories/09/74/86/76/1024x538_cmsv2_618febae-d3a9-5999-b899-3d3f4a0515a6-9748676.jpg,2026-05-06T09:49:25Z,Africanews,https://www.africanews.com,fr,Music,4,name in title; keyword: collaboration; trusted source: africanews.com,"""Tiwa Savage"" Nigeria"
